TIME	安和平原区	临溪平原上河区	临溪平原下河区	临溪平原澄江上游区	临溪平原澄江下游区	青洲平原区	澄江沿线大工业用水区	望潮平原西河区	望潮平原中河区	望潮平原东河区	岸洲滨湾平原区	晨湾平原区	泽原平原区	环屿大陆用水区	泊北平原上河区	泊北平原中河区	黛山平原区	澜亭调水区	临溪平原柳浦中河区
2025/06/28	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/29	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/30	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/01	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/02	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/03	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/04	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/05	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/06	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/07	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/08	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/09	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/10	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/11	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/12	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/13	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/14	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/15	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/16	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/17	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/18	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/19	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/20	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/21	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/22	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/23	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/24	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/25	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/26	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/27	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/28	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/29	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/07/30	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
